Experiment,CNN,Foundation,Fusion,Grouped/Attn,Ensemble,AUROC,AUPRC,F1,Sensitivity,Specificity,Accuracy,Note
CNN Baseline,✓,,,,,0.9061807155852031,0.923802510515765,0.8577753182069728,0.7989690721649485,0.8541176470588235,0.8157706093189964,
Foundation-Only,,✓,,,,0.9053547604608854,0.9325723933643683,0.9010526315789473,0.8824742268041237,0.8258823529411765,0.8652329749103943,
CNN + Foundation Fusion,✓,✓,✓,,,0.9086500909642208,0.9269281117100344,0.9255429162357808,0.9226804123711341,0.8376470588235294,0.896774193548387,
Fusion + Attention/Grouped,✓,✓,✓,✓,,0.7777777777777778,0.8412257495590829,0.9473684210526315,1.0,0.75,0.9230769230769231,"n=13 test groups, NOT directly comparable sample size to others (n=1395)"
Weighted Ensemble,✓(w=0),✓(w=1),✓(w=0),,✓,0.9053547604608854,0.9325723933643683,0.9010526315789473,0.8824742268041237,0.8258823529411765,0.8652329749103943,Collapsed to Foundation-only
